Accel X	Accel Y	Accel Z	Gyro X	Gyro Y	Gyro Z	Altitud	Temperatura
17124.0	-2544.0	648.0	-3360.0	-223.0	142.0	-3.92	29.32
17032.0	-2404.0	636.0	-3376.0	-191.0	165.0	-3.96	29.32
16980.0	-2472.0	612.0	-3360.0	-206.0	155.0	-3.86	29.32
17080.0	-2472.0	624.0	-3360.0	-211.0	159.0	-3.55	29.33
17088.0	-2456.0	696.0	-3344.0	-192.0	145.0	-3.85	29.32
17076.0	-2496.0	728.0	-3344.0	-191.0	117.0	-3.96	29.32
17120.0	-2504.0	668.0	-3360.0	-186.0	155.0	-4.0	29.33
17076.0	-2560.0	860.0	-3360.0	-193.0	184.0	-4.06	29.33
17064.0	-2384.0	668.0	-3392.0	-207.0	160.0	-3.8	29.33
17136.0	-2472.0	716.0	-3344.0	-249.0	124.0	-3.89	29.33
17096.0	-2448.0	728.0	-3408.0	-229.0	155.0	-3.84	29.33
17048.0	-2500.0	732.0	-3360.0	-219.0	129.0	-4.1	29.33
17116.0	-2524.0	780.0	-3360.0	-188.0	150.0	-3.95	29.33
17212.0	-2420.0	644.0	-3392.0	-229.0	176.0	-3.79	29.33
17040.0	-2464.0	924.0	-3376.0	-194.0	158.0	-3.95	29.33
17024.0	-2496.0	600.0	-3344.0	-212.0	158.0	-4.08	29.33
17104.0	-2540.0	688.0	-3360.0	-210.0	141.0	-4.04	29.33
17148.0	-2644.0	584.0	-3360.0	-182.0	143.0	-3.94	29.33
17632.0	-2124.0	1256.0	-3360.0	-158.0	141.0	-3.94	29.33
17048.0	-2528.0	720.0	-3376.0	-205.0	158.0	-4.02	29.33
17172.0	-2520.0	776.0	-3360.0	-213.0	143.0	-3.78	29.33
17536.0	-2200.0	-3832.0	-3360.0	8676.0	-872.0	-3.87	29.34
17020.0	-2812.0	-1044.0	-3376.0	-18.0	-3632.0	-4.04	29.34
16304.0	-2868.0	-2176.0	-3360.0	2042.0	-1759.0	-4.07	29.35
17488.0	-2104.0	-1136.0	-3360.0	1131.0	-1137.0	-4.16	29.35
18164.0	-2980.0	-668.0	-3392.0	2418.0	8214.0	-4.2	29.36
15980.0	1952.0	1612.0	-3360.0	435.0	7706.0	-3.92	29.36
14620.0	6840.0	3260.0	-3344.0	2372.0	1689.0	-4.14	29.37
17032.0	1940.0	4300.0	-3344.0	-4505.0	3950.0	-3.93	29.38
16140.0	-4304.0	-2460.0	-3376.0	448.0	-5627.0	-4.05	29.38
16768.0	-2992.0	772.0	-3344.0	337.0	2558.0	-4.08	29.39
17004.0	-2568.0	944.0	-3392.0	-645.0	-1195.0	-4.17	29.39
16172.0	-3964.0	272.0	-3376.0	-862.0	-2862.0	-3.91	29.4
16884.0	-3232.0	-2712.0	-3344.0	3171.0	-6891.0	-4.21	29.4
10956.0	-9248.0	-7568.0	-3344.0	-1520.0	-7607.0	-4.26	29.41
10636.0	-13464.0	-8608.0	-3376.0	869.0	2793.0	-4.24	29.42
11476.0	-9084.0	-9648.0	-3376.0	1049.0	3515.0	-3.83	29.43
18640.0	-3820.0	-1132.0	-3344.0	150.0	249.0	-4.16	29.44
15832.0	-4940.0	-4164.0	-3376.0	-187.0	78.0	-4.17	29.45
15892.0	-4860.0	-4180.0	-3392.0	-179.0	130.0	-3.91	29.46
15456.0	-5316.0	-4768.0	-3376.0	-195.0	-329.0	-4.03	29.48
15612.0	-6564.0	-5820.0	-3360.0	-1971.0	-1885.0	-4.06	29.49
14388.0	-11008.0	-7660.0	-3360.0	-1693.0	3017.0	-4.02	29.49
15796.0	-4948.0	-7656.0	-3360.0	650.0	-7053.0	-3.9	29.5
13484.0	-3104.0	-1048.0	-3344.0	-1183.0	14569.0	-4.07	29.5
15720.0	-10280.0	-768.0	-3376.0	-1339.0	-2560.0	-4.01	29.51
17268.0	-5912.0	-1324.0	-3376.0	4068.0	-758.0	-3.82	29.51
15176.0	484.0	516.0	-3360.0	-4576.0	-76.0	-3.83	29.51
15788.0	-7100.0	-2220.0	-3408.0	-2197.0	-2149.0	-3.65	29.51
11032.0	-10512.0	-7024.0	-3360.0	3025.0	-8153.0	-3.77	29.52
5896.0	-13332.0	-5680.0	-3376.0	2885.0	1304.0	-3.88	29.52
17132.0	-3560.0	124.0	-3376.0	-1495.0	-249.0	-3.75	29.55
16756.0	-3940.0	376.0	-3392.0	-200.0	130.0	-3.92	29.55
16840.0	-3928.0	352.0	-3344.0	-192.0	138.0	-4.0	29.55
16804.0	-3900.0	468.0	-3360.0	-199.0	164.0	-3.66	29.55
16808.0	-3864.0	432.0	-3376.0	-217.0	151.0	-3.91	29.55
16724.0	-3844.0	308.0	-3408.0	-203.0	159.0	-3.75	29.55
16736.0	-3908.0	360.0	-3376.0	-181.0	156.0	-3.68	29.56
16772.0	-3888.0	456.0	-3376.0	-207.0	157.0	-4.04	29.55
16708.0	-3752.0	340.0	-3328.0	-185.0	139.0	-3.92	29.56
16812.0	-3792.0	416.0	-3392.0	-197.0	166.0	-3.76	29.55
16820.0	-3872.0	356.0	-3376.0	-207.0	150.0	-3.88	29.55
16708.0	-3848.0	368.0	-3328.0	-190.0	131.0	-3.77	29.55
16788.0	-3860.0	304.0	-3360.0	-183.0	159.0	-3.72	29.55
16696.0	-3936.0	452.0	-3360.0	-203.0	154.0	-3.66	29.55
16752.0	-3936.0	344.0	-3408.0	-211.0	144.0	-3.64	29.55
16636.0	-3788.0	344.0	-3376.0	-214.0	184.0	-4.08	29.55
16832.0	-3952.0	456.0	-3360.0	-198.0	136.0	-3.8	29.54
16852.0	-3908.0	292.0	-3344.0	-202.0	145.0	-3.86	29.54
16712.0	-3808.0	324.0	-3360.0	-218.0	140.0	-3.71	29.54
16744.0	-3872.0	412.0	-3376.0	-192.0	136.0	-3.92	29.54
16816.0	-3856.0	348.0	-3360.0	-219.0	167.0	-3.82	29.54
16800.0	-3820.0	392.0	-3360.0	-181.0	135.0	-4.05	29.54
16856.0	-3860.0	296.0	-3344.0	-240.0	139.0	-3.97	29.54
16856.0	-3868.0	444.0	-3344.0	-198.0	130.0	-3.92	29.53
16812.0	-3856.0	280.0	-3344.0	-196.0	139.0	-3.83	29.53
16752.0	-3864.0	464.0	-3360.0	-212.0	149.0	-4.28	29.53
16900.0	-3856.0	292.0	-3360.0	-201.0	153.0	-4.05	29.53
16856.0	-3792.0	436.0	-3360.0	-218.0	158.0	-3.96	29.53
16788.0	-3880.0	336.0	-3392.0	-219.0	142.0	-4.06	29.52
16868.0	-3844.0	324.0	-3376.0	-215.0	151.0	-3.93	29.52
16840.0	-3860.0	416.0	-3344.0	-197.0	172.0	-3.58	29.52
16848.0	-3812.0	344.0	-3360.0	-209.0	145.0	-4.02	29.52
16760.0	-3828.0	372.0	-3360.0	-185.0	131.0	-4.02	29.52
16812.0	-3740.0	320.0	-3360.0	-213.0	147.0	-3.85	29.52
16876.0	-3868.0	272.0	-3376.0	-187.0	148.0	-3.94	29.52
16764.0	-3844.0	420.0	-3392.0	-181.0	140.0	-3.73	29.51
16732.0	-3896.0	304.0	-3376.0	-215.0	138.0	-3.84	29.51
16852.0	-3828.0	324.0	-3376.0	-182.0	150.0	-4.07	29.52
16836.0	-3936.0	328.0	-3376.0	-214.0	137.0	-4.11	29.52
16744.0	-3812.0	320.0	-3376.0	-203.0	134.0	-3.91	29.52
16772.0	-3824.0	268.0	-3360.0	-196.0	173.0	-4.16	29.52
16812.0	-3896.0	380.0	-3360.0	-198.0	142.0	-3.92	29.52
16852.0	-3896.0	416.0	-3360.0	-216.0	149.0	-3.84	29.51
16800.0	-3892.0	432.0	-3344.0	-239.0	128.0	-4.0	29.52
16876.0	-3836.0	280.0	-3376.0	-205.0	116.0	-4.14	29.52
16816.0	-3880.0	400.0	-3392.0	-210.0	162.0	-4.11	29.52
16780.0	-3760.0	256.0	-3360.0	-188.0	142.0	-3.8	29.51
16868.0	-3828.0	368.0	-3360.0	-213.0	151.0	-4.06	29.51
16832.0	-3836.0	364.0	-3392.0	-237.0	109.0	-3.89	29.51
16876.0	-3876.0	328.0	-3360.0	-209.0	109.0	-3.7	29.52
16856.0	-3784.0	224.0	-3392.0	-209.0	142.0	-3.75	29.52
16892.0	-3824.0	412.0	-3360.0	-171.0	155.0	-3.94	29.52
16692.0	-3860.0	408.0	-3360.0	-200.0	147.0	-3.85	29.52
20524.0	-3880.0	768.0	-3360.0	5360.0	-1068.0	-3.7	29.52
13668.0	-7400.0	-8272.0	-3344.0	3473.0	-14289.0	-3.92	29.52
6632.0	-8836.0	-7536.0	-3376.0	7811.0	-3319.0	-4.09	29.52
2380.0	-14812.0	-6016.0	-3344.0	4613.0	-1249.0	-4.15	29.53
840.0	-21756.0	-4300.0	-3328.0	-743.0	400.0	-4.07	29.53
588.0	-11760.0	-3308.0	-3360.0	-1442.0	141.0	-4.18	29.54
1268.0	-21136.0	-4988.0	-3360.0	-638.0	387.0	-4.31	29.55
-96.0	-14612.0	-3664.0	-3344.0	1078.0	56.0	-4.15	29.56
896.0	-16508.0	-4704.0	-3344.0	786.0	1601.0	-4.42	29.58
6856.0	-13776.0	-3536.0	-3344.0	-7282.0	2778.0	-4.08	29.59
11000.0	-10356.0	-8508.0	-3376.0	-1105.0	2047.0	-4.22	29.6
14920.0	-5376.0	-7752.0	-3360.0	-4303.0	9126.0	-4.19	29.61
14336.0	348.0	9648.0	-3328.0	724.0	13695.0	-3.88	29.62
7500.0	904.0	15344.0	-3392.0	-1994.0	4297.0	-4.26	29.62
6140.0	-768.0	16392.0	-3344.0	-795.0	-845.0	-4.02	29.63
15852.0	-4532.0	8120.0	-3328.0	-1896.0	-11937.0	-4.19	29.64
15088.0	-2624.0	4464.0	-3360.0	2746.0	-1768.0	-4.28	29.64
17308.0	296.0	7208.0	-3344.0	-1789.0	-4331.0	-4.35	29.64
16576.0	-3180.0	2168.0	-3376.0	-2930.0	-6032.0	-3.84	29.65
16912.0	-3344.0	960.0	-3360.0	-192.0	140.0	-4.05	29.65
16888.0	-3272.0	948.0	-3344.0	-198.0	143.0	-4.08	29.65
16800.0	-3524.0	820.0	-3376.0	-198.0	149.0	-4.26	29.65
16924.0	-3300.0	872.0	-3360.0	-226.0	120.0	-4.19	29.65
16856.0	-3356.0	804.0	-3360.0	-185.0	118.0	-4.08	29.65
16888.0	-3388.0	1024.0	-3360.0	-189.0	154.0	-4.08	29.65
16816.0	-3320.0	972.0	-3360.0	-217.0	134.0	-4.13	29.65
16956.0	-3364.0	1016.0	-3360.0	-219.0	148.0	-3.98	29.65
16900.0	-3364.0	932.0	-3328.0	-219.0	150.0	-3.85	29.64
17004.0	-3344.0	888.0	-3360.0	-225.0	144.0	-4.01	29.65
16956.0	-3276.0	816.0	-3360.0	-205.0	140.0	-3.77	29.65
16844.0	-3328.0	984.0	-3360.0	-175.0	141.0	-4.29	29.65
16868.0	-3344.0	924.0	-3328.0	-177.0	121.0	-4.16	29.64
16856.0	-3396.0	832.0	-3328.0	-209.0	148.0	-4.09	29.64
16860.0	-3380.0	956.0	-3328.0	-215.0	132.0	-3.8	29.65
16876.0	-3460.0	908.0	-3376.0	-226.0	154.0	-3.84	29.65
16812.0	-3324.0	864.0	-3376.0	-193.0	131.0	-3.97	29.65
16956.0	-3392.0	748.0	-3376.0	-227.0	147.0	-3.83	29.65
16864.0	-3384.0	928.0	-3392.0	-208.0	128.0	-3.58	29.65
16952.0	-3408.0	772.0	-3360.0	-207.0	112.0	-3.93	29.64
16912.0	-3392.0	764.0	-3344.0	-230.0	138.0	-3.9	29.65
16884.0	-3388.0	944.0	-3344.0	-186.0	154.0	-4.14	29.65
16864.0	-3440.0	792.0	-3328.0	-201.0	143.0	-4.06	29.64
17008.0	-3348.0	896.0	-3360.0	-214.0	160.0	-4.11	29.64
16872.0	-3380.0	952.0	-3360.0	-221.0	141.0	-4.07	29.64
16908.0	-3400.0	920.0	-3360.0	-219.0	149.0	-3.88	29.64
16916.0	-3384.0	824.0	-3360.0	-194.0	151.0	-3.83	29.64
16908.0	-3336.0	844.0	-3328.0	-157.0	154.0	-3.79	29.64
16852.0	-3356.0	772.0	-3376.0	-182.0	157.0	-3.92	29.64
16908.0	-3392.0	936.0	-3344.0	-208.0	173.0	-3.72	29.64
16860.0	-3432.0	932.0	-3328.0	-190.0	149.0	-3.67	29.64
16840.0	-3400.0	968.0	-3328.0	-223.0	140.0	-4.02	29.64
16876.0	-3456.0	800.0	-3376.0	-206.0	128.0	-3.97	29.64
16924.0	-3456.0	820.0	-3360.0	-213.0	150.0	-3.83	29.64
16884.0	-3436.0	1008.0	-3328.0	-203.0	171.0	-3.86	29.64
16824.0	-3384.0	820.0	-3344.0	-194.0	145.0	-3.95	29.63
16904.0	-3444.0	804.0	-3360.0	-182.0	171.0	-3.97	29.64
16828.0	-3356.0	776.0	-3328.0	-215.0	151.0	-3.73	29.64
16884.0	-3396.0	908.0	-3328.0	-227.0	151.0	-3.9	29.64
16932.0	-3368.0	928.0	-3328.0	-205.0	164.0	-3.78	29.64
16848.0	-3440.0	940.0	-3344.0	-207.0	143.0	-3.85	29.64
16892.0	-3408.0	796.0	-3360.0	-206.0	156.0	-3.78	29.64
16668.0	-3264.0	784.0	-3328.0	-200.0	217.0	-3.8	29.63
16804.0	-3376.0	896.0	-3312.0	-185.0	155.0	-4.04	29.64
17024.0	-3300.0	664.0	-3360.0	-212.0	92.0	-4.15	29.64
16500.0	-1676.0	-212.0	-3360.0	7096.0	-11115.0	-3.75	29.63
9160.0	-10916.0	-9532.0	-3360.0	2855.0	-2840.0	-4.07	29.64
6384.0	-11680.0	-8812.0	-3344.0	1568.0	5167.0	-4.17	29.64
2560.0	-14260.0	-7528.0	-3360.0	1925.0	-1943.0	-3.88	29.64
1168.0	-17192.0	-7400.0	-3360.0	-83.0	455.0	-3.98	29.65
3576.0	-14952.0	-6672.0	-3328.0	-305.0	-3375.0	-4.01	29.66
2200.0	-15096.0	-7748.0	-3360.0	-362.0	-328.0	-4.34	29.66
1728.0	-15288.0	-7444.0	-3328.0	767.0	-207.0	-4.01	29.68
1632.0	-16308.0	-8672.0	-3328.0	-2594.0	-740.0	-4.26	29.69
2204.0	-16936.0	-11160.0	-3344.0	298.0	-222.0	-4.12	29.7
612.0	-14248.0	-10192.0	-3328.0	-1225.0	1695.0	-4.2	29.71
1348.0	-13220.0	-10168.0	-3360.0	-207.0	-1845.0	-4.01	29.73
992.0	-12772.0	-9624.0	-3344.0	-584.0	-512.0	-4.15	29.74
520.0	-13048.0	-10136.0	-3328.0	-235.0	63.0	-4.3	29.75
136.0	-13228.0	-9728.0	-3312.0	-14.0	-310.0	-4.24	29.77
468.0	-13072.0	-10384.0	-3312.0	-637.0	2858.0	-4.25	29.78
3872.0	-11352.0	-10804.0	-3328.0	-1046.0	-995.0	-4.38	29.79
4404.0	-12308.0	-11708.0	-3344.0	-1129.0	5924.0	-4.34	29.8
13780.0	-6380.0	-6068.0	-3344.0	-1121.0	14164.0	-4.26	29.82
13688.0	284.0	8628.0	-3344.0	-3783.0	13508.0	-4.49	29.83
13416.0	-2776.0	9580.0	-3328.0	-5148.0	-7225.0	-4.11	29.84
15944.0	-4284.0	5044.0	-3360.0	-30.0	-5186.0	-4.15	29.85
16320.0	-5548.0	768.0	-3344.0	-195.0	-3343.0	-4.29	29.85
16228.0	-5580.0	-1148.0	-3344.0	-507.0	-285.0	-4.02	29.87
16708.0	-5224.0	-1880.0	-3360.0	-166.0	803.0	-4.27	29.87
16256.0	-5520.0	-2184.0	-3344.0	-533.0	161.0	-4.15	29.88
16092.0	-5772.0	-2508.0	-3360.0	-353.0	166.0	-4.17	29.88
16432.0	-5648.0	1416.0	-3344.0	-77.0	4210.0	-4.19	29.89
15964.0	-5064.0	4908.0	-3344.0	300.0	748.0	-4.06	29.89
16472.0	-4988.0	5964.0	-3328.0	504.0	209.0	-3.98	29.89
16264.0	-5412.0	6256.0	-3360.0	26.0	-1037.0	-4.08	29.9
15924.0	-4872.0	5460.0	-3360.0	-188.0	324.0	-4.0	29.9
15488.0	-5076.0	5656.0	-3312.0	-355.0	-987.0	-3.95	29.91
16132.0	-4380.0	5820.0	-3328.0	180.0	566.0	-4.13	29.91
15676.0	-5356.0	5972.0	-3360.0	-177.0	848.0	-4.1	29.91
15532.0	-4312.0	6148.0	-3344.0	-91.0	117.0	-3.9	29.92
15972.0	-4520.0	5676.0	-3328.0	-44.0	-62.0	-3.85	29.92
14968.0	-4420.0	5772.0	-3344.0	256.0	1046.0	-4.03	29.93
15892.0	-4352.0	5804.0	-3360.0	-1231.0	2149.0	-3.96	29.93
21076.0	-548.0	3400.0	-3344.0	2308.0	-568.0	-4.05	29.94
